Name,Mobile Number,Email Address,Age,Address of Associated Institute(with map link),Course,Branch,Enrollment Number
Orleans Lhetu,8303617173,user0883@10minutemail.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E20110139000006
Bhavna Ligo,7101019431,user0666@outlook.com,3,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600016
Padyshchi Lighty,9908733539,user0491@10minutemail.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600037
Ranjanic Ligola,8000583390,user0125@10minutemail.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600023
Kshitij Ligiers,,,,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,
Kundan Pandey,9009543660,user0784@10minutemail.com,,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,
Ashok Ligature,,,,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,
Orlen Ligocki,7903585799,user0812@mailinator.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600020
Mustafa Lele,7406019384,user0183@tutanota.com,26,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600060
Mitesh Ligob,7104793401,user0943@yandex.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600006
Arjun Ligget,7902371879,user0098@mailinator.com,22,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600011
Ranjbe Lightbody,7003631140,user0308@tutanota.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600002
Raang Ligion,8407809354,user0571@10minutemail.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600062
Nagesh Pandey,8103772041,user0641@protonmail.com,22,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600015
Khalid Yadav,8107809131,user0834@protonmail.com,22,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600031 
Ranjars Liang,7207418422,user0160@yandex.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E20110139000001
Ranjans Lhadon,9605577116,user0275@mailinator.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600019 
Padraigín Ligodin,8106164891,user0779@protonmail.com,21,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600018
Nikunj Ligartios,8109349391,user0918@10minutemail.com,21,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600008
Ranjar Lightheaded,9003215030,user0760@10minutemail.com,25,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600026
Ranjanam Ligh,7506343715,user0425@guerrillamail.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600005
Manraj Lex,7000125890,user0623@outlook.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600040
Nimesh Liang,8505838465,user0758@outlook.com,25,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600030
Dhruv Kalikar,7508023905,user0532@yandex.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600032 
Padget Reddy,8803554838,user0458@zoho.com,25,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E20110139000003
Ranjai Lightwedge,9804030678,user0093@guerrillamail.com,,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600048
